placeQ,placeLabel,location
Q20009285,Palazzo Cappa Cappelli,Point(13.399444444 42.349472222)
Q55165764,Palazzo Carli,Point(13.396616 42.352119)
Q3889805,Palazzo Carli Benedetti,Point(13.400055555 42.352333333)
Q96095748,Palazzo Castrucci,Point(13.7394243 41.687725)
Q3889830,Palazzo Centi,Point(13.399027777 42.347111111)
Q55165768,Palazzo Ciampella Ciolina,Point(13.399522 42.351005)
Q65028701,Palazzo Ciampella poi Cappelli,Point(13.397329 42.352916)
Q17637960,Palazzo Cianfarani Isola,Point(13.6562 41.749477)
Q65028751,Palazzo Ciccozzi,Point(13.398217 42.348294)
Q29032800,Palazzo Cipolloni Cannella,Point(13.399268 42.34911)
Q86670696,Palazzo Conti-Gentili,Point(13.342576 41.72666)
Q98608848,Palazzo Corradino di Svevia,Point(13.342177739 42.066403917)
Q24942474,Palazzo Cricchi,Point(13.40055 42.35237)
Q3889978,Palazzo De Angelis,Point(13.881791 41.902719)
Q17462135,Palazzo De Lucia,Point(14.221433 42.191669)
Q16586117,Palazzo De Pasquale,Point(14.167592 42.35395)
Q96483006,Palazzo De Roccis,Point(13.729469 42.237265)
Q65028798,Palazzo De Rosis-Alessandri,Point(13.399415 42.351615)
Q18288780,Palazzo De Sterlich,Point(13.792685 42.589127)
Q65028482,Palazzo Dragonetti,Point(13.399353 42.347737)
Q41030464,Palazzo Ducale,Point(13.250416666 42.068472222)
Q17462146,Palazzo Elisii,Point(14.220916 42.190514)
Q3890079,Palazzo Fanzago,Point(14.065707 41.890069)
Q23888579,Palazzo Farinosi Branconi,Point(13.396896 42.354271)
Q108129428,Palazzo Ferrante,Point(13.4725 41.886666666)
Q3890099,Palazzo Fibbioni,Point(13.4 42.350722222)
Q100859527,Palazzo Floridi,Point(13.584091 41.883884)
Q55165771,Palazzo Franchi oggi Fiore,Point(13.395311 42.350703)
Q23888159,Palazzo Gagliardi Sardi,Point(13.400722222 42.348527777)
Q3890166,Palazzo Gallio,Point(13.742878 41.688289)
Q16773577,Palazzo Gottifredo,Point(13.3436 41.7261)
Q16586186,Palazzo Graziani,Point(13.744872 41.688791)
Q3890258,Palazzo Grilli,Point(14.064399 41.890192)
Q88979538,Palazzo Imperato,Point(14.206166666 42.47025)
Q113289801,Palazzo Iuliani,Point(14.097436 41.711777)
Q30880220,Palazzo Leone,Point(13.4013016 42.3534396)
Q65028862,Palazzo Lepidi-Alessandri,Point(13.399349 42.351519)
Q17462229,Palazzo Liberatoscioli,Point(14.222271 42.192126)
Q21194430,Palazzo Lucentini Bonanni,Point(13.401027777 42.353)
